,id,learning_rate,batch_size,weight_decay,epochs,best_epoch,best_acc
0,mbNdUm69vvECmAMseCRZrh,2e-05,4.0,0.001,10.0,8.0,0.8744939271255061
1,Kbe5ho6UWeL4XSgo2vtgrm,2e-05,4.0,0.01,10.0,6.0,0.881578947368421
2,kXehDzJNis5f6k6EVR2Te6,2e-05,4.0,0.05,10.0,8.0,0.8785425101214575
3,9RXPme3DTcyDnYfvRHjArK,2e-05,4.0,0.1,10.0,8.0,0.8825910931174089
4,DHCH7nzxN5Vii3mkL3m4et,2e-05,4.0,0.8,10.0,4.0,0.8795546558704453
5,6Ve97dsSursBGE8NuxopnW,2e-05,8.0,0.001,10.0,4.0,0.8805668016194332
6,bszRcGUbB3Nr6BocgUfoyC,2e-05,8.0,0.01,10.0,6.0,0.8805668016194332
7,br9TeKT4SmzqQPQpCPeeML,2e-05,8.0,0.05,10.0,6.0,0.8836032388663968
8,mfUdEHhcN8GoegxSAxYSdN,2e-05,8.0,0.1,10.0,4.0,0.8785425101214575
9,k4Sj9RXaguMzLHmCMgcYAD,2e-05,8.0,0.8,10.0,5.0,0.8805668016194332
10,33cieS6uxn97azoTv9BVmL,2e-05,16.0,0.001,10.0,7.0,0.8765182186234818
11,Q7hsxJpzP7LshmN2kct9DZ,2e-05,16.0,0.01,10.0,7.0,0.8765182186234818
12,RyxHLt5ixkNz9vRyYG6UTK,2e-05,16.0,0.05,10.0,7.0,0.8755060728744939
13,MJXN65PPrSSraJC9M4vDiN,2e-05,16.0,0.1,10.0,4.0,0.868421052631579
14,Mh5vKAkZuSC2UWt2rwUkyG,2e-05,16.0,0.8,10.0,10.0,0.8785425101214575
15,No6RL4bUnc5W5ySqgde8Ws,2e-06,4.0,0.001,10.0,9.0,0.8066801619433198
16,fyHdDJkgmsWmCLwC7aWjq8,2e-06,4.0,0.01,10.0,10.0,0.8066801619433198
17,Y5BTBtEYY7QVAFKZZDWi52,2e-06,4.0,0.05,10.0,10.0,0.8076923076923077
18,8JdQeTygm3vNhSrS2FsF8g,2e-06,4.0,0.1,10.0,10.0,0.805668016194332
19,JYroDNkkGtuviJYSn9DjVV,2e-06,4.0,0.8,10.0,9.0,0.805668016194332
20,QNKykag3HRDeRsbtVV46Dw,2e-06,8.0,0.001,10.0,10.0,0.7722672064777328
21,YhHECEVeLeVcEDuhZRj5mi,2e-06,8.0,0.01,10.0,10.0,0.771255060728745
22,Ge5hnr2VKSYM7Lgjw8FgMk,2e-06,8.0,0.05,10.0,10.0,0.7732793522267206
